Cycle,IF,ID,EX,MEM,WB,Event
84,"MOV  t3, 0","BUBBLE","MOV  s0, 120","BUBBLE","BUBBLE",""
85,"MOV  t3, 0","BUBBLE","BUBBLE","MOV  s0, 120","BUBBLE",""
86,"MOV  t3, 0","BUBBLE","BUBBLE","BUBBLE","MOV  s0, 120",""
87,"SW   t3, 0(s0)","MOV  t3, 0","BUBBLE","BUBBLE","BUBBLE",""
88,"SW   t3, 0(s0)","BUBBLE","MOV  t3, 0","BUBBLE","BUBBLE",""
89,"SW   t3, 0(s0)","BUBBLE","BUBBLE","MOV  t3, 0","BUBBLE",""
90,"SW   t3, 0(s0)","BUBBLE","BUBBLE","BUBBLE","MOV  t3, 0",""
91,"SW   t3, 1(s0)","SW   t3, 0(s0)","BUBBLE","BUBBLE","BUBBLE",""
92,"SW   t3, 1(s0)","BUBBLE","SW   t3, 0(s0)","BUBBLE","BUBBLE",""
93,"SW   t3, 1(s0)","BUBBLE","BUBBLE","SW   t3, 0(s0)","BUBBLE",""
94,"SW   t3, 1(s0)","BUBBLE","BUBBLE","BUBBLE","SW   t3, 0(s0)",""
95,"MOV  t3, 10","SW   t3, 1(s0)","BUBBLE","BUBBLE","BUBBLE",""
96,"MOV  t3, 10","BUBBLE","SW   t3, 1(s0)","BUBBLE","BUBBLE",""
97,"MOV  t3, 10","BUBBLE","BUBBLE","SW   t3, 1(s0)","BUBBLE",""
98,"MOV  t3, 10","BUBBLE","BUBBLE","BUBBLE","SW   t3, 1(s0)",""
99,"SW   t3, 2(s0)","MOV  t3, 10","BUBBLE","BUBBLE","BUBBLE",""
100,"SW   t3, 2(s0)","BUBBLE","MOV  t3, 10","BUBBLE","BUBBLE",""
101,"SW   t3, 2(s0)","BUBBLE","BUBBLE","MOV  t3, 10","BUBBLE",""
102,"SW   t3, 2(s0)","BUBBLE","BUBBLE","BUBBLE","MOV  t3, 10",""
103,"MOV  t3, 0","SW   t3, 2(s0)","BUBBLE","BUBBLE","BUBBLE",""
104,"MOV  t3, 0","BUBBLE","SW   t3, 2(s0)","BUBBLE","BUBBLE",""
105,"MOV  t3, 0","BUBBLE","BUBBLE","SW   t3, 2(s0)","BUBBLE",""
106,"MOV  t3, 0","BUBBLE","BUBBLE","BUBBLE","SW   t3, 2(s0)",""
107,"SW   t3, 3(s0)","MOV  t3, 0","BUBBLE","BUBBLE","BUBBLE",""
108,"SW   t3, 3(s0)","BUBBLE","MOV  t3, 0","BUBBLE","BUBBLE",""
109,"SW   t3, 3(s0)","BUBBLE","BUBBLE","MOV  t3, 0","BUBBLE",""
110,"SW   t3, 3(s0)","BUBBLE","BUBBLE","BUBBLE","MOV  t3, 0",""
111,"MOV  t3, 20","SW   t3, 3(s0)","BUBBLE","BUBBLE","BUBBLE",""
112,"MOV  t3, 20","BUBBLE","SW   t3, 3(s0)","BUBBLE","BUBBLE",""
113,"MOV  t3, 20","BUBBLE","BUBBLE","SW   t3, 3(s0)","BUBBLE",""
114,"MOV  t3, 20","BUBBLE","BUBBLE","BUBBLE","SW   t3, 3(s0)",""
115,"SW   t3, 4(s0)","MOV  t3, 20","BUBBLE","BUBBLE","BUBBLE",""
116,"SW   t3, 4(s0)","BUBBLE","MOV  t3, 20","BUBBLE","BUBBLE",""
117,"SW   t3, 4(s0)","BUBBLE","BUBBLE","MOV  t3, 20","BUBBLE",""
118,"SW   t3, 4(s0)","BUBBLE","BUBBLE","BUBBLE","MOV  t3, 20",""
119,"MOV  t3, -1","SW   t3, 4(s0)","BUBBLE","BUBBLE","BUBBLE",""
120,"MOV  t3, -1","BUBBLE","SW   t3, 4(s0)","BUBBLE","BUBBLE",""
121,"MOV  t3, -1","BUBBLE","BUBBLE","SW   t3, 4(s0)","BUBBLE",""
122,"MOV  t3, -1","BUBBLE","BUBBLE","BUBBLE","SW   t3, 4(s0)",""
123,"SW   t3, 5(s0)","MOV  t3, -1","BUBBLE","BUBBLE","BUBBLE",""
124,"SW   t3, 5(s0)","BUBBLE","MOV  t3, -1","BUBBLE","BUBBLE",""
125,"SW   t3, 5(s0)","BUBBLE","BUBBLE","MOV  t3, -1","BUBBLE",""
126,"SW   t3, 5(s0)","BUBBLE","BUBBLE","BUBBLE","MOV  t3, -1",""
127,"MOV  t0, 100","SW   t3, 5(s0)","BUBBLE","BUBBLE","BUBBLE",""
128,"MOV  t0, 100","BUBBLE","SW   t3, 5(s0)","BUBBLE","BUBBLE",""
129,"MOV  t0, 100","BUBBLE","BUBBLE","SW   t3, 5(s0)","BUBBLE",""
130,"MOV  t0, 100","BUBBLE","BUBBLE","BUBBLE","SW   t3, 5(s0)",""
131,"MOV  t1, 110","MOV  t0, 100","BUBBLE","BUBBLE","BUBBLE",""
132,"MOV  t1, 110","BUBBLE","MOV  t0, 100","BUBBLE","BUBBLE",""
133,"MOV  t1, 110","BUBBLE","BUBBLE","MOV  t0, 100","BUBBLE",""
134,"MOV  t1, 110","BUBBLE","BUBBLE","BUBBLE","MOV  t0, 100",""
135,"MOV  t2, 4","MOV  t1, 110","BUBBLE","BUBBLE","BUBBLE",""
136,"MOV  t2, 4","BUBBLE","MOV  t1, 110","BUBBLE","BUBBLE",""
137,"MOV  t2, 4","BUBBLE","BUBBLE","MOV  t1, 110","BUBBLE",""
138,"MOV  t2, 4","BUBBLE","BUBBLE","BUBBLE","MOV  t1, 110",""
139,"MOV  t5, 0","MOV  t2, 4","BUBBLE","BUBBLE","BUBBLE",""
140,"MOV  t5, 0","BUBBLE","MOV  t2, 4","BUBBLE","BUBBLE",""
141,"MOV  t5, 0","BUBBLE","BUBBLE","MOV  t2, 4","BUBBLE",""
142,"MOV  t5, 0","BUBBLE","BUBBLE","BUBBLE","MOV  t2, 4",""
143,"BZERO t2, PART2","MOV  t5, 0","BUBBLE","BUBBLE","BUBBLE",""
144,"BZERO t2, PART2","BUBBLE","MOV  t5, 0","BUBBLE","BUBBLE",""
145,"BZERO t2, PART2","BUBBLE","BUBBLE","MOV  t5, 0","BUBBLE",""
146,"BZERO t2, PART2","BUBBLE","BUBBLE","BUBBLE","MOV  t5, 0",""
147,"LW   t3, 0(t0)","BZERO t2, PART2","BUBBLE","BUBBLE","BUBBLE",""
